config,alpha,omega,salted,sr_enabled,attack,detection_rate,detected_count,total_samples,mean_z_score,std_z_score
omega_1,3.0,1.0,False,False,clean,96.0,48,50,14.639828552369977,2.4556492585980174
omega_1,3.0,1.0,False,False,synonym_30,98.0,49,50,14.185494882811682,2.3209164316555007
omega_1,3.0,1.0,False,False,swap_20,96.0,48,50,14.270209537503085,2.4084702007672245
omega_1,3.0,1.0,False,False,typo_10,96.0,48,50,14.35976577280372,2.4414004618589558
omega_5,3.0,5.0,False,False,clean,98.0,49,50,12.545394975150145,2.469066625935526
omega_5,3.0,5.0,False,False,synonym_30,98.0,49,50,9.591324916461431,2.469495748184839
omega_5,3.0,5.0,False,False,swap_20,98.0,49,50,12.586266953315729,2.4532910985911176
omega_5,3.0,5.0,False,False,typo_10,98.0,49,50,11.628783486288944,2.1815010480778385
omega_10,3.0,10.0,False,False,clean,100.0,50,50,13.934720689692027,1.0031646184975718
omega_10,3.0,10.0,False,False,synonym_30,100.0,50,50,11.89758985007051,1.619669602967826
omega_10,3.0,10.0,False,False,swap_20,100.0,50,50,13.753495187674817,1.3815345588396415
omega_10,3.0,10.0,False,False,typo_10,100.0,50,50,12.58942725222436,1.3363539715225339
omega_25,3.0,25.0,False,False,clean,100.0,50,50,12.875854478177324,1.2945604298871822
omega_25,3.0,25.0,False,False,synonym_30,100.0,50,50,11.21077027619294,1.6069029312280194
omega_25,3.0,25.0,False,False,swap_20,100.0,50,50,12.875617891436223,1.3018633276473837
omega_25,3.0,25.0,False,False,typo_10,100.0,50,50,12.032153540976113,1.4386542009239751
omega_50,3.0,50.0,False,False,clean,100.0,50,50,12.541399650319054,1.7610228522705098
omega_50,3.0,50.0,False,False,synonym_30,100.0,50,50,10.816172838471687,2.0471888304241483
omega_50,3.0,50.0,False,False,swap_20,100.0,50,50,12.555729071410681,1.7583784869137036
omega_50,3.0,50.0,False,False,typo_10,100.0,50,50,11.62279575934211,1.8552468713589092
omega_100,3.0,100.0,False,False,clean,98.0,49,50,13.706984434764658,2.2474569588658015
omega_100,3.0,100.0,False,False,synonym_30,98.0,49,50,11.978300578426575,2.434419562774983
omega_100,3.0,100.0,False,False,swap_20,98.0,49,50,13.691138764399538,2.2542063684637066
omega_100,3.0,100.0,False,False,typo_10,98.0,49,50,12.93466015561749,2.211585780447513
alpha_1,1.0,50.0,False,False,clean,60.0,30,50,4.669056765894755,2.4378123494026656
alpha_1,1.0,50.0,False,False,synonym_30,48.0,24,50,3.979537935740637,2.476631262652864
alpha_1,1.0,50.0,False,False,swap_20,62.0,31,50,4.875228835953113,2.3790210870510555
alpha_1,1.0,50.0,False,False,typo_10,57.99999999999999,29,50,4.459762489311177,2.3312491544382796
alpha_2,2.0,50.0,False,False,clean,100.0,50,50,9.869092912742353,2.0220585253616967
alpha_2,2.0,50.0,False,False,synonym_30,100.0,50,50,8.412368059391653,2.019701306294608
alpha_2,2.0,50.0,False,False,swap_20,100.0,50,50,9.920061330101275,2.0331942798584484
alpha_2,2.0,50.0,False,False,typo_10,100.0,50,50,9.065405297496469,1.9821404440265065
alpha_3,3.0,50.0,False,False,clean,100.0,50,50,12.541399650319054,1.7610228522705098
alpha_3,3.0,50.0,False,False,synonym_30,100.0,50,50,10.918556236998095,1.9468591364613512
alpha_3,3.0,50.0,False,False,swap_20,100.0,50,50,12.559418254014247,1.7607348773803402
alpha_3,3.0,50.0,False,False,typo_10,100.0,50,50,11.601246297106902,1.7743223245592896
alpha_5,5.0,50.0,False,False,clean,100.0,50,50,14.258408420714638,1.232242310063852
alpha_5,5.0,50.0,False,False,synonym_30,98.0,49,50,12.096167577147511,2.9065019259052867
alpha_5,5.0,50.0,False,False,swap_20,98.0,49,50,13.861227613408108,2.8985673209028513
alpha_5,5.0,50.0,False,False,typo_10,98.0,49,50,12.921284468778294,2.779725842988844
alpha_10,10.0,50.0,False,False,clean,100.0,50,50,15.747329979756072,0.5926974418746187
alpha_10,10.0,50.0,False,False,synonym_30,100.0,50,50,14.053503802667047,1.4988066179350275
alpha_10,10.0,50.0,False,False,swap_20,100.0,50,50,15.747280541601588,0.5972966188629705
alpha_10,10.0,50.0,False,False,typo_10,100.0,50,50,14.666667806001266,0.945905955432796
GPW,3.0,50.0,False,False,clean,100.0,50,50,12.541399650319054,1.7610228522705098
GPW,3.0,50.0,False,False,synonym_30,100.0,50,50,10.932051363025536,2.0774482744682334
GPW,3.0,50.0,False,False,swap_20,100.0,50,50,12.558753242065471,1.7594429309784814
GPW,3.0,50.0,False,False,typo_10,100.0,50,50,11.46451181852507,1.8412180896713493
GPW-SP,3.0,50.0,True,False,clean,94.0,47,50,11.285586860326928,2.397648320451427
GPW-SP,3.0,50.0,True,False,synonym_30,92.0,46,50,6.3369084650752585,1.8782039095763798
GPW-SP,3.0,50.0,True,False,swap_20,94.0,47,50,6.257645125917639,1.5727825402752558
GPW-SP,3.0,50.0,True,False,typo_10,94.0,47,50,7.99469009852749,1.8924544808756665
GPW-SP+SR,3.0,50.0,True,True,clean,100.0,50,50,11.423481153207671,1.9716806787116359
GPW-SP+SR,3.0,50.0,True,True,synonym_30,28.000000000000004,14,50,3.0371154531537985,1.9517893996009816
GPW-SP+SR,3.0,50.0,True,True,swap_20,40.0,20,50,3.8754925984269253,1.6457544415730452
GPW-SP+SR,3.0,50.0,True,True,typo_10,54.0,27,50,4.42083541290562,2.172426678933699
GPW_low,2.0,2.0,False,False,clean,98.0,49,50,11.985988332492905,1.6508832130328894
GPW_low,2.0,2.0,False,False,synonym_30,98.0,49,50,10.452081734857812,1.6711171858866298
GPW_low,2.0,2.0,False,False,swap_20,98.0,49,50,11.774372913036391,1.5493713877398478
GPW_low,2.0,2.0,False,False,typo_10,98.0,49,50,11.270169504954149,1.5697346324317125
GPW-SP_low,2.0,2.0,True,False,clean,96.0,48,50,8.494217744789148,2.0605603622069153
GPW-SP_low,2.0,2.0,True,False,synonym_30,70.0,35,50,4.491820232663781,1.6537955923753394
GPW-SP_low,2.0,2.0,True,False,swap_20,70.0,35,50,4.601249688590508,1.7741092023035738
GPW-SP_low,2.0,2.0,True,False,typo_10,84.0,42,50,5.591316244812531,1.9513180268397108
