model,watermarker,attack,sample_idx,z_score,p_value,is_detected
opt-1.3b,gpw,paraphrase,0,4.9641095985040735,3.4508481749906394e-07,1
opt-1.3b,gpw,paraphrase,1,6.913932971601798,2.3570034812792073e-12,1
opt-1.3b,gpw,paraphrase,2,5.333333333333333,4.8213033676525185e-08,1
opt-1.3b,gpw,paraphrase,3,4.274373669939289,9.583767278331656e-06,1
opt-1.3b,gpw,paraphrase,4,4.117461398980325,1.9153433268526143e-05,1
opt-1.3b,gpw,paraphrase,5,4.965635331614209,3.423826072657121e-07,1
opt-1.3b,gpw,paraphrase,6,4.772970773009195,9.076407136987541e-07,1
opt-1.3b,gpw,paraphrase,7,4.5853026072441505,2.266646917825632e-06,1
opt-1.3b,gpw,paraphrase,8,7.071067811865476,7.687184222504584e-13,1
opt-1.3b,gpw,paraphrase,9,2.848259605699059,0.00219795248676391,0
opt-1.3b,gpw,paraphrase,10,3.1156172273035576,0.0009178018596485149,0
opt-1.3b,gpw,paraphrase,11,5.675540917470541,6.912554528781811e-09,1
opt-1.3b,gpw,paraphrase,12,6.111919138499424,4.922002805329839e-10,1
opt-1.3b,gpw,paraphrase,13,6.446583712203042,5.719968942941023e-11,1
opt-1.3b,gpw,paraphrase,14,8.063808033429366,3.3306690738754696e-16,1
opt-1.3b,gpw,paraphrase,15,2.9516097302997224,0.001580611010453481,0
opt-1.3b,gpw,paraphrase,16,8.279908588115266,1.1102230246251565e-16,1
opt-1.3b,gpw,paraphrase,17,4.846153846153845,6.293895880027378e-07,1
opt-1.3b,gpw,paraphrase,18,5.408521132466447,3.177364504836078e-08,1
opt-1.3b,gpw,paraphrase,19,4.673773191347206,1.4785794816285502e-06,1
opt-1.3b,gpw_sp,paraphrase,0,5.764613536983136,4.0922583099956e-09,1
opt-1.3b,gpw_sp,paraphrase,1,5.3425845689650275,4.581529922109695e-08,1
opt-1.3b,gpw_sp,paraphrase,2,2.0889318714683744,0.01835692818135204,0
opt-1.3b,gpw_sp,paraphrase,3,1.2857142857142856,0.09927139684333097,0
opt-1.3b,gpw_sp,paraphrase,4,5.680518698404823,6.714343525615618e-09,1
opt-1.3b,gpw_sp,paraphrase,5,6.5785539644190605,2.375222241113306e-11,1
opt-1.3b,gpw_sp,paraphrase,6,4.738994040524743,1.0739091020894875e-06,1
opt-1.3b,gpw_sp,paraphrase,7,5.528757923720705,1.612530020622671e-08,1
opt-1.3b,gpw_sp,paraphrase,8,5.6151403655209995,9.82013725892017e-09,1
opt-1.3b,gpw_sp,paraphrase,9,3.4292856398964493,0.00030258613126898926,0
opt-1.3b,gpw_sp,paraphrase,10,3.401680257083045,0.0003348647245109415,0
opt-1.3b,gpw_sp,paraphrase,11,5.329594745632331,4.921607976715592e-08,1
opt-1.3b,gpw_sp,paraphrase,12,2.1371868349696443,0.01629139919280642,0
opt-1.3b,gpw_sp,paraphrase,13,6.36445827340584,9.799006051025572e-11,1
opt-1.3b,gpw_sp,paraphrase,14,4.118653026450952,1.9054673002338873e-05,1
opt-1.3b,gpw_sp,paraphrase,15,5.347182125933068,4.466705683103811e-08,1
opt-1.3b,gpw_sp,paraphrase,16,4.394802124588287,5.543685104858476e-06,1
opt-1.3b,gpw_sp,paraphrase,17,0.25630729731502927,0.39885678148681825,0
opt-1.3b,gpw_sp,paraphrase,18,4.56157867409957,2.5385222860441203e-06,1
opt-1.3b,gpw_sp,paraphrase,19,5.059644256269405,2.1001969885414695e-07,1
opt-1.3b,gpw_sp_low,paraphrase,0,2.7293978096094333,0.003172505552934912,0
opt-1.3b,gpw_sp_low,paraphrase,1,4.086031347641994,2.1940726037450453e-05,1
opt-1.3b,gpw_sp_low,paraphrase,2,3.4882660448996727,0.0002430820374896836,0
opt-1.3b,gpw_sp_low,paraphrase,3,4.704421212792113,1.2729357780072448e-06,1
opt-1.3b,gpw_sp_low,paraphrase,4,1.8842334171937944,0.029766704615291073,0
opt-1.3b,gpw_sp_low,paraphrase,5,0.38411063979868837,0.3504482229282324,0
opt-1.3b,gpw_sp_low,paraphrase,6,1.4253932901995967,0.07702177327187543,0
opt-1.3b,gpw_sp_low,paraphrase,7,1.2888044650576518,0.09873303667900946,0
opt-1.3b,gpw_sp_low,paraphrase,8,3.8764946645589147,5.2986066313431834e-05,0
opt-1.3b,gpw_sp_low,paraphrase,9,1.8461989882527161,0.0324316589110234,0
opt-1.3b,gpw_sp_low,paraphrase,10,0.8512565307587497,0.19731343312154725,0
opt-1.3b,gpw_sp_low,paraphrase,11,2.2269224668742704,0.012976228011187252,0
opt-1.3b,gpw_sp_low,paraphrase,12,3.4641016151377535,0.00026600275256960515,0
opt-1.3b,gpw_sp_low,paraphrase,13,4.229860487678397,1.169181424109933e-05,1
opt-1.3b,gpw_sp_low,paraphrase,14,1.7320508075688774,0.041632258331775196,0
opt-1.3b,gpw_sp_low,paraphrase,15,3.400000000000001,0.0003369292656768552,0
opt-1.3b,gpw_sp_low,paraphrase,16,3.310423554409472,0.00046577446825513125,0
opt-1.3b,gpw_sp_low,paraphrase,17,1.2456821978060992,0.10644054591388152,0
opt-1.3b,gpw_sp_low,paraphrase,18,2.2677868380553625,0.011671101006445417,0
opt-1.3b,gpw_sp_low,paraphrase,19,3.7008507530426415,0.00010743891859532617,0
opt-1.3b,gpw_sp_sr,paraphrase,0,7.284322184888003,1.616484723854228e-13,1
opt-1.3b,gpw_sp_sr,paraphrase,1,4.341929178750915,7.061853182110944e-06,1
opt-1.3b,gpw_sp_sr,paraphrase,2,7.707139547199079,6.439293542825908e-15,1
opt-1.3b,gpw_sp_sr,paraphrase,3,3.8764946645589147,5.2986066313431834e-05,0
opt-1.3b,gpw_sp_sr,paraphrase,4,2.653955210788148,0.003977719285504722,0
opt-1.3b,gpw_sp_sr,paraphrase,5,1.5811388300841895,0.056923149003329065,0
opt-1.3b,gpw_sp_sr,paraphrase,6,4.449719092257398,4.299133831819901e-06,1
opt-1.3b,gpw_sp_sr,paraphrase,7,4.767570631855361,9.323031741059751e-07,1
opt-1.3b,gpw_sp_sr,paraphrase,8,5.48885386747757,2.0227506558612163e-08,1
opt-1.3b,gpw_sp_sr,paraphrase,9,3.0942637387763794,0.000986510043759492,0
opt-1.3b,gpw_sp_sr,paraphrase,10,5.347182125933068,4.466705683103811e-08,1
opt-1.3b,gpw_sp_sr,paraphrase,11,3.7319614456588455,9.499729287343328e-05,0
opt-1.3b,gpw_sp_sr,paraphrase,12,6.2250810425992125,2.4065360815228587e-10,1
opt-1.3b,gpw_sp_sr,paraphrase,13,1.4084056792618556,0.07950548925036616,0
opt-1.3b,gpw_sp_sr,paraphrase,14,2.794782784191075,0.002596729869037362,0
opt-1.3b,gpw_sp_sr,paraphrase,15,1.4795908857482154,0.06949123014659275,0
opt-1.3b,gpw_sp_sr,paraphrase,16,1.8571428571428577,0.0316454161166726,0
opt-1.3b,gpw_sp_sr,paraphrase,17,2.897143873360594,0.0018828850667721442,0
opt-1.3b,gpw_sp_sr,paraphrase,18,1.6552117772047372,0.04894077354472981,0
opt-1.3b,gpw_sp_sr,paraphrase,19,3.6816376037769607,0.00011587032873572323,0
opt-1.3b,unigram,paraphrase,0,5.918640302493726,1.6230701227470945e-09,1
opt-1.3b,unigram,paraphrase,1,9.036961141150638,0.0,1
opt-1.3b,unigram,paraphrase,2,4.8995252416517765,4.803425414090512e-07,1
opt-1.3b,unigram,paraphrase,3,5.87947121926639,2.0578957427019873e-09,1
opt-1.3b,unigram,paraphrase,4,2.8659510138303497,0.0020787928730305882,0
opt-1.3b,unigram,paraphrase,5,6.740358479519648,7.899791931720301e-12,1
opt-1.3b,unigram,paraphrase,6,5.958762397937049,1.2707764840413915e-09,1
opt-1.3b,unigram,paraphrase,7,4.065863991822648,2.3927419871894173e-05,1
opt-1.3b,unigram,paraphrase,8,7.856742013183863,1.9984014443252818e-15,1
opt-1.3b,unigram,paraphrase,9,6.560592908445457,2.6797120078470016e-11,1
opt-1.3b,unigram,paraphrase,10,5.682865828855804,6.62280907892665e-09,1
opt-1.3b,unigram,paraphrase,11,6.9713700231733515,1.5693002453076588e-12,1
opt-1.3b,unigram,paraphrase,12,6.971018004892819,1.5732970481963093e-12,1
opt-1.3b,unigram,paraphrase,13,4.101263132430925,2.054504910053989e-05,1
opt-1.3b,unigram,paraphrase,14,6.545614594714174,2.962563527830753e-11,1
opt-1.3b,unigram,paraphrase,15,4.389381125701739,5.683684778823306e-06,1
opt-1.3b,unigram,paraphrase,16,7.4391145663926235,5.062616992290714e-14,1
opt-1.3b,unigram,paraphrase,17,5.613216254636148,9.930007149883124e-09,1
opt-1.3b,unigram,paraphrase,18,8.537538904868734,0.0,1
opt-1.3b,unigram,paraphrase,19,4.679004355737049,1.4413565977422493e-06,1
opt-1.3b,kgw,paraphrase,0,2.9199855803537265,0.0017502379108779165,0
opt-1.3b,kgw,paraphrase,1,0.9330078226479674,0.17540796470312148,0
opt-1.3b,kgw,paraphrase,2,0.5813183589761809,0.28051295473074167,0
opt-1.3b,kgw,paraphrase,3,1.8717134551736654,0.030623128518159293,0
opt-1.3b,kgw,paraphrase,4,1.6475089420958273,0.049726739874154435,0
opt-1.3b,kgw,paraphrase,5,2.167774923810301,0.01508790782609204,0
opt-1.3b,kgw,paraphrase,6,-0.25264557631995604,0.599728946288437,0
opt-1.3b,kgw,paraphrase,7,-0.4335549847620606,0.6676941852294971,0
opt-1.3b,kgw,paraphrase,8,4.762352359916265,9.567459308135184e-07,1
opt-1.3b,kgw,paraphrase,9,4.245782220824175,1.0891606577856372e-05,1
opt-1.3b,kgw,paraphrase,10,2.752558187682247,0.0029565818570945757,0
opt-1.3b,kgw,paraphrase,11,3.7947331922020555,7.390115516725526e-05,0
opt-1.3b,kgw,paraphrase,12,3.468909530866052,0.0002612876975621736,0
opt-1.3b,kgw,paraphrase,13,4.382693235899587,5.861055734746046e-06,1
opt-1.3b,kgw,paraphrase,14,2.0816659994661335,0.01868649417032575,0
opt-1.3b,kgw,paraphrase,15,1.9100460366360204,0.02806364305896958,0
opt-1.3b,kgw,paraphrase,16,0.518321055348815,0.302117142397498,0
opt-1.3b,kgw,paraphrase,17,1.1666666666666679,0.12167250457438117,0
opt-1.3b,kgw,paraphrase,18,0.27216552697590823,0.3927473735591773,0
opt-1.3b,kgw,paraphrase,19,2.032002032003048,0.021076725117852746,0
gpt2,gpw,paraphrase,0,6.839978854825744,3.960276551140396e-12,1
gpt2,gpw,paraphrase,1,4.5783501747442426,2.3432883139440364e-06,1
gpt2,gpw,paraphrase,2,5.813776741499454,3.0539432094300878e-09,1
gpt2,gpw,paraphrase,3,5.7280124460652555,5.0807056339863266e-09,1
gpt2,gpw,paraphrase,4,8.380558825863956,0.0,1
gpt2,gpw,paraphrase,5,5.564047150200578,1.3179433766552506e-08,1
gpt2,gpw,paraphrase,6,7.602042145115967,1.454392162258955e-14,1
gpt2,gpw,paraphrase,7,4.949747468305833,3.7154918619553e-07,1
gpt2,gpw,paraphrase,8,8.273292477668889,1.1102230246251565e-16,1
gpt2,gpw,paraphrase,9,6.141879930089016,4.0775249843250094e-10,1
gpt2,gpw,paraphrase,10,8.640987597877148,0.0,1
gpt2,gpw,paraphrase,11,5.289624982012536,6.128370289015805e-08,1
gpt2,gpw,paraphrase,12,3.748170285326546,8.906465272773278e-05,0
gpt2,gpw,paraphrase,13,7.413571269033499,6.150635556423367e-14,1
gpt2,gpw,paraphrase,14,5.173952471047822,1.1459657434098602e-07,1
gpt2,gpw,paraphrase,15,7.332510776379008,1.1290968160437842e-13,1
gpt2,gpw,paraphrase,16,5.370760693098811,3.9202599277921024e-08,1
gpt2,gpw,paraphrase,17,6.7988969693620165,5.271116876315318e-12,1
gpt2,gpw,paraphrase,18,4.849343154722923,6.193548492960943e-07,1
gpt2,gpw,paraphrase,19,7.929925657295442,1.1102230246251565e-15,1
gpt2,gpw_sp,paraphrase,0,5.211581712072242,9.361866959434195e-08,1
gpt2,gpw_sp,paraphrase,1,5.166666666666667,1.1915285336172587e-07,1
gpt2,gpw_sp,paraphrase,2,5.12410092176279,1.494804150459217e-07,1
gpt2,gpw_sp,paraphrase,3,12.025379665422665,0.0,1
gpt2,gpw_sp,paraphrase,4,6.194224814505167,2.92862845086006e-10,1
gpt2,gpw_sp,paraphrase,5,2.1447610589527213,0.015985978088824404,0
gpt2,gpw_sp,paraphrase,6,5.035088149780136,2.3881449418006184e-07,1
gpt2,gpw_sp,paraphrase,7,4.899683311370657,4.799562672852531e-07,1
gpt2,gpw_sp,paraphrase,8,4.389381125701739,5.683684778823306e-06,1
gpt2,gpw_sp,paraphrase,9,5.590346009321517,1.133087901283858e-08,1
gpt2,gpw_sp,paraphrase,10,6.620847108818944,1.7857271217280868e-11,1
gpt2,gpw_sp,paraphrase,11,6.228410989030497,2.3559487694058134e-10,1
gpt2,gpw_sp,paraphrase,12,4.833468331062339,6.708731595805872e-07,1
gpt2,gpw_sp,paraphrase,13,4.842479984790932,6.4114277831262e-07,1
gpt2,gpw_sp,paraphrase,14,6.304886387294217,1.44202649821068e-10,1
gpt2,gpw_sp,paraphrase,15,5.515528318445927,1.738668720108194e-08,1
gpt2,gpw_sp,paraphrase,16,4.526787302125927,2.994358107244466e-06,1
gpt2,gpw_sp,paraphrase,17,5.526066862243562,1.6374468336799453e-08,1
gpt2,gpw_sp,paraphrase,18,6.948792289723034,1.8420820424580597e-12,1
gpt2,gpw_sp,paraphrase,19,5.452382673766769,2.48496810906218e-08,1
gpt2,gpw_sp_low,paraphrase,0,3.638870609178738,0.00013691816709926474,0
gpt2,gpw_sp_low,paraphrase,1,-1.2288478807785603,0.890435577178279,0
gpt2,gpw_sp_low,paraphrase,2,4.346442943955463,6.91815105569038e-06,1
gpt2,gpw_sp_low,paraphrase,3,3.647212397623876,0.0001325503897520175,0
gpt2,gpw_sp_low,paraphrase,4,4.136897877713795,1.760163431641093e-05,1
gpt2,gpw_sp_low,paraphrase,5,2.6940795304016234,0.0035291660242640077,0
gpt2,gpw_sp_low,paraphrase,6,4.190279412931976,1.3930557731578475e-05,1
gpt2,gpw_sp_low,paraphrase,7,2.2132669799727456,0.01343962234853624,0
gpt2,gpw_sp_low,paraphrase,8,1.8569533817705175,0.031658893415022926,0
gpt2,gpw_sp_low,paraphrase,9,5.2478450149193145,7.694433556970637e-08,1
gpt2,gpw_sp_low,paraphrase,10,3.8430756913220914,6.075098782154509e-05,0
gpt2,gpw_sp_low,paraphrase,11,2.708381313869479,0.0033806145154466893,0
gpt2,gpw_sp_low,paraphrase,12,0.6910947404650875,0.24475300265913413,0
gpt2,gpw_sp_low,paraphrase,13,1.4281274532053752,0.07662758846690476,0
gpt2,gpw_sp_low,paraphrase,14,1.57786411722106,0.05729841501949573,0
gpt2,gpw_sp_low,paraphrase,15,2.741411574957852,0.0030587912238112525,0
gpt2,gpw_sp_low,paraphrase,16,0.518321055348815,0.302117142397498,0
gpt2,gpw_sp_low,paraphrase,17,2.400980191995123,0.008175610787902965,0
gpt2,gpw_sp_low,paraphrase,18,4.2847960423085505,9.145345326921905e-06,1
gpt2,gpw_sp_low,paraphrase,19,4.673773191347206,1.4785794816285502e-06,1
gpt2,gpw_sp_sr,paraphrase,0,3.9581140290126386,3.77719466341242e-05,0
gpt2,gpw_sp_sr,paraphrase,1,4.631835565865854,1.8121898370804246e-06,1
gpt2,gpw_sp_sr,paraphrase,2,2.7760883751542673,0.002750862577162061,0
gpt2,gpw_sp_sr,paraphrase,3,5.773502691896259,3.882018262402198e-09,1
gpt2,gpw_sp_sr,paraphrase,4,3.0096463271442304,0.0013077602826689905,0
gpt2,gpw_sp_sr,paraphrase,5,4.230769230769232,1.164467537473346e-05,1
gpt2,gpw_sp_sr,paraphrase,6,0.0,0.5,0
gpt2,gpw_sp_sr,paraphrase,7,2.959320151246863,0.0015415930454539817,0
gpt2,gpw_sp_sr,paraphrase,8,7.754278454880778,4.440892098500626e-15,1
gpt2,gpw_sp_sr,paraphrase,9,3.5688712648767758,0.00017926126437661782,0
gpt2,gpw_sp_sr,paraphrase,10,4.389477864571921,5.681157137948922e-06,1
gpt2,gpw_sp_sr,paraphrase,11,6.619276003825101,1.8048118555213932e-11,1
gpt2,gpw_sp_sr,paraphrase,12,4.919349550499537,4.341614042724373e-07,1
gpt2,gpw_sp_sr,paraphrase,13,5.34679673207404,4.476222925653417e-08,1
gpt2,gpw_sp_sr,paraphrase,14,4.044563087162534,2.621039581296447e-05,1
gpt2,gpw_sp_sr,paraphrase,15,7.6139790908321,1.3322676295501878e-14,1
gpt2,gpw_sp_sr,paraphrase,16,8.076923076923077,3.3306690738754696e-16,1
gpt2,gpw_sp_sr,paraphrase,17,6.8565605342801765,3.5269565046291973e-12,1
gpt2,gpw_sp_sr,paraphrase,18,6.0462353597355465,7.413473168682572e-10,1
gpt2,gpw_sp_sr,paraphrase,19,8.610537802979819,0.0,1
gpt2,unigram,paraphrase,0,10.910907578731331,0.0,1
gpt2,unigram,paraphrase,1,9.108437646689818,0.0,1
gpt2,unigram,paraphrase,2,10.404245390591814,0.0,1
gpt2,unigram,paraphrase,3,9.076378416598237,0.0,1
gpt2,unigram,paraphrase,4,8.864828547985866,0.0,1
gpt2,unigram,paraphrase,5,8.877545314489295,0.0,1
gpt2,unigram,paraphrase,6,9.676431849257934,0.0,1
gpt2,unigram,paraphrase,7,9.893818294745373,0.0,1
gpt2,unigram,paraphrase,8,9.995120760870789,0.0,1
gpt2,unigram,paraphrase,9,7.09929573971954,6.269429420058259e-13,1
gpt2,unigram,paraphrase,10,9.287432920695053,0.0,1
gpt2,unigram,paraphrase,11,9.437313870045916,0.0,1
gpt2,unigram,paraphrase,12,9.927945535915404,0.0,1
gpt2,unigram,paraphrase,13,7.944299095067363,9.992007221626409e-16,1
gpt2,unigram,paraphrase,14,9.49471465075242,0.0,1
gpt2,unigram,paraphrase,15,7.7326000445048155,5.218048215738236e-15,1
gpt2,unigram,paraphrase,16,7.275305487061688,1.7286172493413687e-13,1
gpt2,unigram,paraphrase,17,8.278795899070198,1.1102230246251565e-16,1
gpt2,unigram,paraphrase,18,9.959745568633142,0.0,1
gpt2,unigram,paraphrase,19,9.018381794484132,0.0,1
gpt2,kgw,paraphrase,0,4.6923076923076925,1.3507021291436772e-06,1
gpt2,kgw,paraphrase,1,2.59160527674408,0.00477646540677823,0
gpt2,kgw,paraphrase,2,3.903137553125778,4.747685087236331e-05,0
gpt2,kgw,paraphrase,3,1.6550318531021102,0.048959018387780606,0
gpt2,kgw,paraphrase,4,2.864006223032629,0.002091598965757391,0
gpt2,kgw,paraphrase,5,0.7803989725717086,0.21757803622276428,0
gpt2,kgw,paraphrase,6,6.344409644902455,1.1164003055341709e-10,1
gpt2,kgw,paraphrase,7,2.8401877872187726,0.0022543491824521533,0
gpt2,kgw,paraphrase,8,2.685380346549404,0.0036223654951657025,0
gpt2,kgw,paraphrase,9,1.0579249964025073,0.1450448190943301,0
gpt2,kgw,paraphrase,10,6.846153846153846,3.793076963631847e-12,1
gpt2,kgw,paraphrase,11,3.944467458277702,3.9988756403097625e-05,0
gpt2,kgw,paraphrase,12,3.1299537008542986,0.000874169282474746,0
gpt2,kgw,paraphrase,13,2.3706292499958055,0.00887891694280396,0
gpt2,kgw,paraphrase,14,1.1917080461366754,0.11668787100942923,0
gpt2,kgw,paraphrase,15,5.640760748177662,8.46502368201385e-09,1
gpt2,kgw,paraphrase,16,0.8451542547285162,0.19901235975346898,0
gpt2,kgw,paraphrase,17,3.662048064470217,0.0001251034498327419,0
gpt2,kgw,paraphrase,18,1.5461980716652026,0.061028369547008965,0
gpt2,kgw,paraphrase,19,3.3319948650953677,0.000431129235866079,0
